epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,7908.59,0.84372,0.70835,1.27282,0.8536,0.83333,0.89983,0.63349,1.04639,0.83583,1.3769,0.0015248,0.0015248,0.0015248
26,8134.79,0.80958,0.69211,1.25374,0.88843,0.88481,0.91229,0.61964,1.15724,0.73563,1.54396,0.001505,0.001505,0.001505
27,8361,0.80834,0.68205,1.24014,0.87745,0.86187,0.93141,0.66718,1.0108,0.75001,1.36003,0.0014852,0.0014852,0.0014852
28,8587.59,0.77232,0.64883,1.22582,0.87992,0.90741,0.93552,0.65029,0.99845,0.74473,1.31436,0.0014654,0.0014654,0.0014654
29,8814.12,0.77513,0.66087,1.24315,0.86367,0.86111,0.92555,0.68744,0.97855,0.67317,1.32819,0.0014456,0.0014456,0.0014456
30,9038.6,0.78309,0.64827,1.23094,0.90181,0.90741,0.94436,0.61213,1.12955,0.77381,1.40394,0.0014258,0.0014258,0.0014258
31,9263.28,0.77408,0.62839,1.21804,0.91892,0.86111,0.93468,0.68478,0.95016,0.78486,1.30355,0.001406,0.001406,0.001406
32,9487.68,0.74717,0.60803,1.20709,0.92204,0.87607,0.9509,0.71671,0.91815,0.65337,1.24366,0.0013862,0.0013862,0.0013862
33,9712.18,0.75585,0.62179,1.21209,0.90728,0.93519,0.95477,0.70912,0.91607,0.62451,1.25873,0.0013664,0.0013664,0.0013664
34,9936.16,0.73465,0.61286,1.18925,0.971,0.84259,0.95353,0.71461,0.89006,0.60547,1.29444,0.0013466,0.0013466,0.0013466
35,10160.3,0.71861,0.60276,1.19464,0.90608,0.89328,0.93618,0.67793,0.92413,0.74427,1.29377,0.0013268,0.0013268,0.0013268
36,10384.2,0.72075,0.62427,1.18348,0.96581,0.87037,0.96655,0.7357,0.87817,0.61052,1.19433,0.001307,0.001307,0.001307
37,10608.6,0.68157,0.55353,1.17572,0.88916,0.92593,0.95125,0.6974,0.92279,0.58416,1.26441,0.0012872,0.0012872,0.0012872
38,10835.3,0.71494,0.61038,1.18442,0.96923,0.87963,0.95968,0.72705,0.87239,0.53975,1.22793,0.0012674,0.0012674,0.0012674
39,11061.1,0.69583,0.5853,1.17947,0.97293,0.87963,0.95715,0.72562,0.89003,0.56382,1.19343,0.0012476,0.0012476,0.0012476
40,11287.6,0.67341,0.5381,1.16374,0.95283,0.93514,0.97254,0.75869,0.81328,0.51157,1.14088,0.0012278,0.0012278,0.0012278
