epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,211.441,1.27276,2.17787,1.58825,0.62263,0.43171,0.50296,0.23177,1.47737,3.06601,1.92477,0.000653061,0.000653061,0.000653061
2,419.989,1.17306,1.73466,1.49989,0.51538,0.49821,0.46223,0.20388,1.71393,2.78835,2.40612,0.00130666,0.00130666,0.00130666
3,627.508,1.25136,1.56711,1.52472,0.43993,0.43728,0.36929,0.15077,2.02466,2.78096,2.42052,0.00194706,0.00194706,0.00194706
4,833.762,1.25717,1.49196,1.53632,0.24142,0.28674,0.14667,0.03804,2.7632,3.45693,3.32828,0.0019406,0.0019406,0.0019406
5,1039.54,1.21376,1.35916,1.48979,0.63764,0.53405,0.55615,0.27553,1.72572,3.16069,2.21671,0.0019208,0.0019208,0.0019208
6,1245.88,1.18732,1.31337,1.47965,0.62022,0.5912,0.58996,0.30907,1.55424,2.2493,2.02563,0.001901,0.001901,0.001901
7,1450.87,1.12042,1.19257,1.43296,0.61286,0.60712,0.59687,0.30046,1.54926,1.69596,1.93503,0.0018812,0.0018812,0.0018812
8,1655.02,1.09777,1.20985,1.41485,0.53536,0.45878,0.478,0.24166,1.65835,1.93072,2.03554,0.0018614,0.0018614,0.0018614
9,1859.06,1.09322,1.13233,1.41063,0.70362,0.63819,0.69805,0.38134,1.44907,1.528,1.8067,0.0018416,0.0018416,0.0018416
10,2063.05,1.04794,1.07873,1.37618,0.67234,0.59573,0.6612,0.39139,1.38985,1.52163,1.7128,0.0018218,0.0018218,0.0018218
11,2266.94,1.02237,1.04397,1.35732,0.62723,0.55914,0.6069,0.35798,1.44148,1.73406,1.73905,0.001802,0.001802,0.001802
12,2470.89,0.99954,1.01487,1.34743,0.84272,0.73118,0.80008,0.50684,1.27509,1.15958,1.68141,0.0017822,0.0017822,0.0017822
13,2674.35,0.96017,0.9954,1.31928,0.69669,0.63441,0.67273,0.3975,1.32469,1.8124,1.65496,0.0017624,0.0017624,0.0017624
14,2879.07,0.94277,0.95327,1.30042,0.82637,0.75986,0.8202,0.56317,1.10452,1.37394,1.46371,0.0017426,0.0017426,0.0017426
15,3082.54,0.92186,0.91619,1.2912,0.81933,0.69534,0.8023,0.52461,1.204,1.1784,1.56343,0.0017228,0.0017228,0.0017228
16,3286.63,0.92776,0.90874,1.28199,0.75162,0.57706,0.64924,0.4241,1.34561,1.63638,1.77447,0.001703,0.001703,0.001703
17,3490.33,0.9196,0.87214,1.27861,0.82278,0.77419,0.84339,0.5404,1.15444,1.14777,1.53524,0.0016832,0.0016832,0.0016832
18,3694.68,0.92189,0.86909,1.28709,0.79203,0.77805,0.82361,0.53824,1.16068,1.25196,1.48953,0.0016634,0.0016634,0.0016634
19,3897.97,0.90565,0.86718,1.26637,0.87918,0.79928,0.88118,0.6072,1.07644,0.90672,1.44483,0.0016436,0.0016436,0.0016436
20,4101.89,0.86322,0.84286,1.25022,0.87479,0.76344,0.82705,0.57434,1.14769,1.00975,1.50709,0.0016238,0.0016238,0.0016238
21,4305.82,0.8481,0.8211,1.23631,0.87972,0.77061,0.8589,0.58101,1.12694,1.0085,1.46567,0.001604,0.001604,0.001604
22,4510.1,0.86081,0.81941,1.24118,0.87587,0.7957,0.86491,0.6051,1.04984,1.02654,1.42602,0.0015842,0.0015842,0.0015842
