epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,333.992,1.31503,2.11536,1.68883,0.33399,0.18519,0.17884,0.05765,2.64525,3.75225,3.06731,0.000655172,0.000655172,0.000655172
2,638.501,1.28346,1.62459,1.63465,0.396,0.2963,0.19971,0.07988,1.9426,2.74496,2.96506,0.00130875,0.00130875,0.00130875
3,941.147,1.31516,1.50651,1.6433,0.14346,0.23148,0.10863,0.02795,2.7199,4.67239,3.42723,0.00194913,0.00194913,0.00194913
4,1255.86,1.31377,1.43315,1.64399,0.28597,0.26852,0.15332,0.04131,2.76693,3.32437,3.0745,0.0019406,0.0019406,0.0019406
5,1564.56,1.23271,1.28558,1.57754,0.52516,0.48148,0.49622,0.20827,1.85424,2.08555,2.30548,0.0019208,0.0019208,0.0019208
6,1875.53,1.19293,1.18791,1.54498,0.55927,0.57574,0.5517,0.28658,1.64862,2.01812,2.1633,0.001901,0.001901,0.001901
7,2191.05,1.18332,1.14122,1.53258,0.79254,0.59259,0.71257,0.39577,1.42639,1.45423,1.81481,0.0018812,0.0018812,0.0018812
8,2498.24,1.113,1.08504,1.48996,0.80464,0.68648,0.76596,0.47922,1.37179,1.3605,1.77193,0.0018614,0.0018614,0.0018614
9,2804.06,1.11107,1.01778,1.47498,0.84856,0.76852,0.84209,0.54813,1.24255,1.03995,1.65175,0.0018416,0.0018416,0.0018416
10,3113.85,1.06738,0.97383,1.44006,0.5985,0.61111,0.51457,0.20511,2.07453,1.75231,2.52582,0.0018218,0.0018218,0.0018218
11,3496.8,1.00346,0.89622,1.39529,0.79754,0.73148,0.77604,0.47262,1.44529,1.15467,1.78007,0.001802,0.001802,0.001802
12,3867.94,1.04547,0.93258,1.43243,0.81119,0.7037,0.81068,0.4762,1.4236,1.16497,1.89461,0.0017822,0.0017822,0.0017822
13,4227.56,0.99866,0.87814,1.39424,0.7324,0.75926,0.79798,0.49104,1.34403,1.07369,1.69571,0.0017624,0.0017624,0.0017624
14,4585.06,1.0074,0.87746,1.38797,0.80519,0.68888,0.8266,0.53121,1.2536,1.02218,1.73769,0.0017426,0.0017426,0.0017426
15,4972.25,0.96736,0.84779,1.36757,0.9095,0.80556,0.90642,0.62425,1.1555,0.78189,1.52323,0.0017228,0.0017228,0.0017228
16,5350.73,0.93855,0.81171,1.33868,0.77626,0.86736,0.90406,0.601,1.15941,0.86411,1.51943,0.001703,0.001703,0.001703
17,5725.94,0.92185,0.79064,1.33027,0.84593,0.90741,0.95204,0.64576,1.12095,0.84103,1.44942,0.0016832,0.0016832,0.0016832
18,6037.52,0.8929,0.75991,1.32746,0.80189,0.74959,0.83903,0.5912,1.17683,0.99312,1.5646,0.0016634,0.0016634,0.0016634
19,6279.97,0.91225,0.78466,1.32388,0.85023,0.81481,0.90288,0.597,1.17547,0.86988,1.51348,0.0016436,0.0016436,0.0016436
20,6520.76,0.87644,0.75076,1.30258,0.82628,0.84259,0.87216,0.58916,1.16012,0.96094,1.4989,0.0016238,0.0016238,0.0016238
21,6838.65,0.85167,0.72643,1.29484,0.78704,0.81481,0.84251,0.50151,1.29121,0.97408,1.68099,0.001604,0.001604,0.001604
22,7183.63,0.85854,0.70553,1.28607,0.81567,0.86045,0.88735,0.61856,1.10941,0.79907,1.45329,0.0015842,0.0015842,0.0015842
23,7426.01,0.86184,0.72657,1.27981,0.87482,0.84119,0.88585,0.60619,1.13712,0.75189,1.5032,0.0015644,0.0015644,0.0015644
24,7665.22,0.85295,0.70654,1.27704,0.75123,0.86683,0.85956,0.52391,1.18574,0.94637,1.51906,0.0015446,0.0015446,0.0015446
